date,population_daily_est
2023-07-09,215768
2023-07-10,215770
2023-07-11,215771
2023-07-12,215772
2023-07-13,215773
2023-07-14,215774
2023-07-15,215775
2023-07-16,215776
2023-07-17,215778
2023-07-18,215779
2023-07-19,215780
2023-07-20,215781
2023-07-21,215782
2023-07-22,215783
2023-07-23,215784
2023-07-24,215786
2023-07-25,215787
2023-07-26,215788
2023-07-27,215789
2023-07-28,215790
2023-07-29,215791
2023-07-30,215792
2023-07-31,215794
2023-08-01,215795
2023-08-02,215796
2023-08-03,215797
2023-08-04,215798
2023-08-05,215799
2023-08-06,215801
2023-08-07,215802
2023-08-08,215803
2023-08-09,215804
2023-08-10,215805
2023-08-11,215806
2023-08-12,215807
2023-08-13,215809
2023-08-14,215810
2023-08-15,215811
2023-08-16,215812
2023-08-17,215813
2023-08-18,215814
2023-08-19,215815
2023-08-20,215817
2023-08-21,215818
2023-08-22,215819
2023-08-23,215820
2023-08-24,215821
2023-08-25,215822
2023-08-26,215823
2023-08-27,215825
2023-08-28,215826
2023-08-29,215827
2023-08-30,215828
2023-08-31,215829
2023-09-01,215830
2023-09-02,215831
2023-09-03,215833
2023-09-04,215834
2023-09-05,215835
2023-09-06,215836
2023-09-07,215837
2023-09-08,215838
2023-09-09,215839
2023-09-10,215841
2023-09-11,215842
2023-09-12,215843
2023-09-13,215844
2023-09-14,215845
2023-09-15,215846
2023-09-16,215847
2023-09-17,215849
2023-09-18,215850
2023-09-19,215851
2023-09-20,215852
2023-09-21,215853
2023-09-22,215854
2023-09-23,215855
2023-09-24,215857
2023-09-25,215858
2023-09-26,215859
2023-09-27,215860
2023-09-28,215861
2023-09-29,215862
2023-09-30,215863
2023-10-01,215865
2023-10-02,215866
2023-10-03,215867
2023-10-04,215868
2023-10-05,215869
2023-10-06,215870
2023-10-07,215872
2023-10-08,215873
2023-10-09,215874
2023-10-10,215875
2023-10-11,215876
2023-10-12,215877
2023-10-13,215878
2023-10-14,215880
2023-10-15,215881
2023-10-16,215882
2023-10-17,215883
2023-10-18,215884
2023-10-19,215885
2023-10-20,215886
2023-10-21,215888
2023-10-22,215889
2023-10-23,215890
2023-10-24,215891
2023-10-25,215892
2023-10-26,215893
